Uid,Vehicle id,Data date,Year,Make,Model,Model fr,Local version name,Trim,Manufacturer code,Msrp,Evox
821735021,821735020210111,2021-01-11,2021,Hyundai,Elantra Sedan,Elantra Berline,Preferred HEV,Preferred,EL74DF16I2AA,24699.00,14946 | 2021 Hyundai Elantra  Limited 
821735121,821735120210111,2021-01-11,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate HEV,Ultimate,EL74DF16I4AA,26999.00,14946 | 2021 Hyundai Elantra  Limited 
823805521,823805520210111,2021-01-11,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate HEV Two-Tone Interior,Ultimate Two-Tone Interior,EL74DF16I4AC,26999.00,14946 | 2021 Hyundai Elantra  Limited 
783506521,783506520210122,2021-01-22,2021,Hyundai,IONIQ Hybrid,IONIQ hybride,Essential DCT,Essential,IO15DF16I100,25649.00,14300 | 2020 Hyundai Ioniq Hybrid Limited
783506621,783506620210122,2021-01-22,2021,Hyundai,IONIQ Hybrid,IONIQ hybride,Preferred DCT,Preferred,IO15DF16I200,28799.00,14300 | 2020 Hyundai Ioniq Hybrid Limited
783506821,783506820210122,2021-01-22,2021,Hyundai,IONIQ Hybrid,IONIQ hybride,Ultimate DCT,Ultimate,IO15DF16I400,33049.00,14300 | 2020 Hyundai Ioniq Hybrid Limited
783507321,783507320210122,2021-01-22,2021,Hyundai,IONIQ Electric,IONIQ électrique,Preferred,Preferred,IO15EFEME800,41599.00,14375 | 2020 Hyundai Ioniq Electric SE
783507421,783507420210122,2021-01-22,2021,Hyundai,IONIQ Electric,IONIQ électrique,Ultimate,Ultimate,IO15EFEME900,45999.00,14375 | 2020 Hyundai Ioniq Electric SE
791560021,791560020210122,2021-01-22,2021,Hyundai,IONIQ Plug-In Hybrid,IONIQ hybride rechargeable,Preferred DCT,Preferred,IO15DF16P600,35149.00,15078 | 2021 Hyundai Ioniq Plug-In Hybrid Limited
791560121,791560120210122,2021-01-22,2021,Hyundai,IONIQ Plug-In Hybrid,IONIQ hybride rechargeable,Ultimate DCT,Ultimate,IO15DF16P700,38249.00,15078 | 2021 Hyundai Ioniq Plug-In Hybrid Limited
824162021,824162020210122,2021-01-22,2021,Hyundai,IONIQ Plug-In Hybrid,IONIQ hybride rechargeable,Essential DCT,Essential,IO15DF16PX52,32649.00,15078 | 2021 Hyundai Ioniq Plug-In Hybrid Limited
824162121,824162120210122,2021-01-22,2021,Hyundai,Santa Fe,Santa Fe,Preferred w/Trend Hybrid 1.6T AWD,Preferred w/Trend Hybrid,SA4SAA16G2AD,41399.00,14945 | 2021 Hyundai Santa Fe Limited
824162221,824162220210122,2021-01-22,2021,Hyundai,Santa Fe,Santa Fe,Luxury Hybrid 1.6T AWD,Luxury Hybrid,SA4SAA16G3AA,43799.00,14945 | 2021 Hyundai Santa Fe Limited
765550316,765550320160411,2016-04-11,2016,Hyundai,Genesis,Genesis,3.8 Premium,Premium,G324AA38BX10,43600.00,10882 | 2016 Hyundai Genesis 3.8
788877813,788877820130801,2013-08-01,2013,Hyundai,Sonata Hybrid,Sonata hybride,6AT,-,SH64AF24HX00,27999.00,8830 | 2013 Hyundai Sonata Hybrid Limited
788877814,788877820140501,2014-05-01,2014,Hyundai,Sonata Hybrid,Sonata hybride,6AT,-,SH64AF24HX00,28249.00,9625 | 2014 Hyundai Sonata Hybrid Limited
788877913,788877920130801,2013-08-01,2013,Hyundai,Sonata Hybrid,Sonata hybride,Limited w/Technology Pkg 6AT,Limited,SH64AF24HD55,33999.00,8830 | 2013 Hyundai Sonata Hybrid Limited
788877914,788877920140501,2014-05-01,2014,Hyundai,Sonata Hybrid,Sonata hybride,Limited w/Technology Pkg 6AT,Limited,SH64AF24HD55,34249.00,9625 | 2014 Hyundai Sonata Hybrid Limited
79805205,79805220050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GLS V6 2.7 AWD 4AT,GLS,None,28725.00,2906 | 2005 Hyundai Tucson LX
79805305,79805320050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GL V6 2.7 AWD 4AT,GL,None,27145.00,2906 | 2005 Hyundai Tucson LX
79805405,79805420050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GL V6 2.7 FWD 4AT,GL,None,24865.00,2906 | 2005 Hyundai Tucson LX
79805505,79805520050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GL 2.0 FWD Air Package 4AT,GL,None,22415.00,2906 | 2005 Hyundai Tucson LX
79805605,79805620050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GL 2.0 FWD Air Package 5MT,GL,None,21415.00,2906 | 2005 Hyundai Tucson LX
